iter	Passed	Remaining
798	1849	465
799	1851	462
800	1853	460
801	1856	458
802	1859	456
803	1861	453
804	1863	451
805	1864	448
806	1866	446
807	1868	443
808	1873	442
809	1875	439
810	1876	437
811	1879	435
812	1884	433
813	1887	431
814	1889	428
815	1891	426
816	1892	423
817	1897	422
818	1899	419
819	1902	417
820	1903	415
821	1905	412
822	1906	410
823	1908	407
824	1909	405
825	1913	403
826	1916	400
827	1917	398
828	1919	395
829	1920	393
830	1921	390
831	1922	388
832	1924	385
833	1925	383
834	1927	380
835	1929	378
836	1931	376
837	1932	373
838	1933	371
839	1935	368
840	1936	366
841	1938	363
842	1939	361
843	1940	358
844	1942	356
845	1943	353
846	1944	351
847	1946	348
848	1947	346
849	1948	343
850	1949	341
851	1951	338
852	1952	336
853	1953	333
854	1955	331
855	1957	329
856	1959	326
857	1960	324
858	1961	322
859	1963	319
860	1964	317
861	1965	314
862	1966	312
863	1968	309
864	1971	307
865	1972	305
866	1973	302
867	1974	300
868	1976	297
869	1977	295
870	1978	292
871	1979	290
872	1980	288
873	1981	285
874	1982	283
875	1985	281
876	1986	278
877	1988	276
878	1989	273
879	1990	271
880	1991	269
881	1993	266
882	1994	264
883	1995	261
884	1996	259
885	1997	256
886	1998	254
887	2000	252
888	2002	250
889	2003	247
890	2004	245
891	2006	242
892	2007	240
893	2009	238
894	2010	235
895	2011	233
896	2012	231
897	2014	228
898	2016	226
899	2017	224
900	2019	221
901	2021	219
902	2022	217
903	2023	214
904	2024	212
905	2026	210
906	2027	207
907	2032	205
908	2033	203
909	2035	201
910	2037	199
911	2038	196
912	2039	194
913	2041	192
914	2042	189
915	2044	187
916	2047	185
917	2048	183
918	2050	180
919	2051	178
920	2053	176
921	2054	173
922	2055	171
923	2057	169
924	2060	167
925	2062	164
926	2063	162
927	2065	160
928	2067	157
929	2068	155
930	2070	153
931	2071	151
932	2074	148
933	2076	146
934	2078	144
935	2080	142
936	2082	140
937	2084	137
938	2086	135
939	2092	133
940	2094	131
941	2095	129
942	2097	126
943	2098	124
944	2100	122
945	2102	120
946	2105	117
947	2107	115
948	2108	113
949	2110	111
950	2112	108
951	2113	106
952	2116	104
953	2120	102
954	2122	100
955	2124	97
956	2125	95
957	2127	93
958	2129	91
959	2131	88
960	2133	86
961	2135	84
962	2138	82
963	2140	79
964	2141	77
965	2144	75
966	2145	73
967	2150	71
968	2152	68
969	2154	66
970	2155	64
971	2157	62
972	2158	59
973	2160	57
974	2162	55
975	2164	53
976	2165	50
977	2167	48
978	2169	46
979	2171	44
980	2173	42
981	2175	39
982	2177	37
983	2178	35
984	2180	33
985	2181	30
986	2183	28
987	2184	26
988	2186	24
989	2188	22
990	2189	19
991	2191	17
992	2195	15
993	2197	13
994	2200	11
995	2203	8
996	2208	6
997	2210	4
998	2212	2
999	2213	0
